,p_in,d_in,e,p_out
0,35.0,0.12390000000000001,0.0001,
1,35.0,0.12390000000000001,7.5e-05,
2,35.0,0.12390000000000001,5e-05,
3,35.0,0.12390000000000001,2.5e-05,
4,35.0,0.12390000000000001,1e-05,
5,35.0,0.24109999999999998,0.0001,
6,35.0,0.24109999999999998,7.5e-05,
7,35.0,0.24109999999999998,5e-05,6.218246768759322
8,35.0,0.24109999999999998,2.5e-05,13.129772172166533
9,35.0,0.24109999999999998,1e-05,17.35880888672506
10,35.0,0.3236,0.0001,16.53048817993265
11,35.0,0.3236,7.5e-05,18.101036369276052
12,35.0,0.3236,5e-05,19.88015887884248
13,35.0,0.3236,2.5e-05,22.111331826120423
14,35.0,0.3236,1e-05,24.00421297009751
15,35.0,0.37439999999999996,0.0001,20.754519097963403
16,35.0,0.37439999999999996,7.5e-05,21.803337833295434
17,35.0,0.37439999999999996,5e-05,23.040176976259403
18,35.0,0.37439999999999996,2.5e-05,24.65459584418173
19,35.0,0.37439999999999996,1e-05,26.07125560198463
20,35.0,0.51,0.0001,26.11587553298716
21,35.0,0.51,7.5e-05,26.67200682342894
22,35.0,0.51,5e-05,27.349422353579595
23,35.0,0.51,2.5e-05,28.266696455805505
24,35.0,0.51,1e-05,29.099901770731897
25,40.0,0.12390000000000001,0.0001,
26,40.0,0.12390000000000001,7.5e-05,
27,40.0,0.12390000000000001,5e-05,
28,40.0,0.12390000000000001,2.5e-05,
29,40.0,0.12390000000000001,1e-05,
30,40.0,0.24109999999999998,0.0001,16.149862620236476
31,40.0,0.24109999999999998,7.5e-05,18.446293670980005
32,40.0,0.24109999999999998,5e-05,20.946611558618738
33,40.0,0.24109999999999998,2.5e-05,23.972998274122514
34,40.0,0.24109999999999998,1e-05,26.469973580817868
35,40.0,0.3236,0.0001,25.958730673126848
36,40.0,0.3236,7.5e-05,26.960201786663724
37,40.0,0.3236,5e-05,28.15248732788945
38,40.0,0.3236,2.5e-05,29.72428923394089
39,40.0,0.3236,1e-05,31.115446376804567
40,40.0,0.37439999999999996,0.0001,28.760917706658514
41,40.0,0.37439999999999996,7.5e-05,29.50515690528453
42,40.0,0.37439999999999996,5e-05,30.404229111518394
43,40.0,0.37439999999999996,2.5e-05,31.60944609432553
44,40.0,0.37439999999999996,1e-05,32.69318563115448
45,40.0,0.51,0.0001,32.7326782059518
46,40.0,0.51,7.5e-05,33.165547667013506
47,40.0,0.51,5e-05,33.69730448906795
48,40.0,0.51,2.5e-05,34.42472161661669
49,40.0,0.51,1e-05,35.09201461977323
50,45.0,0.12390000000000001,0.0001,
51,45.0,0.12390000000000001,7.5e-05,
52,45.0,0.12390000000000001,5e-05,
53,45.0,0.12390000000000001,2.5e-05,
54,45.0,0.12390000000000001,1e-05,7.7687699167230315
55,45.0,0.24109999999999998,0.0001,26.898748319933848
56,45.0,0.24109999999999998,7.5e-05,28.302805955961077
57,45.0,0.24109999999999998,5e-05,29.945864870223982
58,45.0,0.24109999999999998,2.5e-05,32.070589329396334
59,45.0,0.24109999999999998,1e-05,33.917423426756
60,45.0,0.3236,0.0001,33.541062355364005
61,45.0,0.3236,7.5e-05,34.29838597557562
62,45.0,0.3236,5e-05,35.214695841655576
63,45.0,0.3236,2.5e-05,36.444943378863904
64,45.0,0.3236,1e-05,37.5524184153099
65,45.0,0.37439999999999996,0.0001,35.68977910455591
66,45.0,0.37439999999999996,7.5e-05,36.27418073816309
67,45.0,0.37439999999999996,5e-05,36.98719999826834
68,45.0,0.37439999999999996,2.5e-05,37.95417711741061
69,45.0,0.37439999999999996,1e-05,38.83331645763936
70,45.0,0.51,0.0001,38.870094601065716
71,45.0,0.51,7.5e-05,39.22471455126673
72,45.0,0.51,5e-05,39.66225557928896
73,45.0,0.51,2.5e-05,40.26393547189362
74,45.0,0.51,1e-05,40.81857637502702
75,50.0,0.12390000000000001,0.0001,
76,50.0,0.12390000000000001,7.5e-05,
77,50.0,0.12390000000000001,5e-05,1.1062553808547497
78,50.0,0.12390000000000001,2.5e-05,16.91629353706196
79,50.0,0.12390000000000001,1e-05,24.141316996016233
80,50.0,0.24109999999999998,0.0001,35.17704006668365
81,50.0,0.24109999999999998,7.5e-05,36.22712771997387
82,50.0,0.24109999999999998,5e-05,37.4830000285914
83,50.0,0.24109999999999998,2.5e-05,39.145831088125675
84,50.0,0.24109999999999998,1e-05,40.62190836682522
85,50.0,0.3236,0.0001,40.326155794833575
86,50.0,0.3236,7.5e-05,40.93842340724166
87,50.0,0.3236,5e-05,41.68501486558114
88,50.0,0.3236,2.5e-05,42.696566995343424
89,50.0,0.3236,1e-05,43.6149271583247
90,50.0,0.37439999999999996,0.0001,42.07607452840945
91,50.0,0.37439999999999996,7.5e-05,42.557600749428325
92,50.0,0.37439999999999996,5e-05,43.1482033024894
93,50.0,0.37439999999999996,2.5e-05,43.9541282626936
94,50.0,0.37439999999999996,1e-05,44.691027623168004
95,50.0,0.51,0.0001,44.72630671695334
96,50.0,0.51,7.5e-05,45.025613364318076
97,50.0,0.51,5e-05,45.395844148033376
98,50.0,0.51,2.5e-05,45.90646445190713
99,50.0,0.51,1e-05,46.37831957986418
100,90.0,0.12390000000000001,0.0001,76.81355314915528
101,90.0,0.12390000000000001,7.5e-05,77.73062349311145
102,90.0,0.12390000000000001,5e-05,78.83390975055056
103,90.0,0.12390000000000001,2.5e-05,80.29853879059999
104,90.0,0.12390000000000001,1e-05,81.58915893928273
105,90.0,0.24109999999999998,0.0001,84.5887840790607
106,90.0,0.24109999999999998,7.5e-05,84.91237046805801
107,90.0,0.24109999999999998,5e-05,85.30932950796044
108,90.0,0.24109999999999998,2.5e-05,85.84904041007852
109,90.0,0.24109999999999998,1e-05,86.33568484989519
110,90.0,0.3236,0.0001,86.27691587344516
111,90.0,0.3236,7.5e-05,86.48909394596798
112,90.0,0.3236,5e-05,86.75067423984184
113,90.0,0.3236,2.5e-05,87.10850275027666
114,90.0,0.3236,1e-05,87.43294598823032
115,90.0,0.37439999999999996,0.0001,86.8980079221137
116,90.0,0.37439999999999996,7.5e-05,87.07104192270207
117,90.0,0.37439999999999996,5e-05,87.28479394274069
118,90.0,0.37439999999999996,2.5e-05,87.57791414952392
119,90.0,0.37439999999999996,1e-05,87.84428576106282
120,90.0,0.51,0.0001,87.88335477227326
121,90.0,0.51,7.5e-05,87.99660424049678
122,90.0,0.51,5e-05,88.13702069029111
123,90.0,0.51,2.5e-05,88.3304352959652
124,90.0,0.51,1e-05,88.50687716873655
